comment_text,num_replies,num_likes,theme_ground_truth
Bottle leaks when I travel with it.,5,8,packaging
The pump broke after two uses.,10,23,packaging
The pump broke after two uses.,0,10,packaging
The pump broke after two uses.,3,23,packaging
"Beautiful and sturdy packaging, feels luxurious.",3,12,packaging
"Beautiful and sturdy packaging, feels luxurious.",4,16,packaging
Bottle leaks when I travel with it.,3,20,packaging
Compact and easy to carry in my bag.,1,15,packaging
The pump broke after two uses.,10,37,packaging
The pump broke after two uses.,3,17,packaging
"Beautiful and sturdy packaging, feels luxurious.",6,11,packaging
Bottle leaks when I travel with it.,0,18,packaging
"Beautiful and sturdy packaging, feels luxurious.",6,27,packaging
Bottle leaks when I travel with it.,4,18,packaging
Bottle leaks when I travel with it.,8,11,packaging
"Beautiful and sturdy packaging, feels luxurious.",4,8,packaging
"Beautiful and sturdy packaging, feels luxurious.",0,7,packaging
Too much plastic waste in the packaging.,0,12,packaging
The pump broke after two uses.,9,0,packaging
Compact and easy to carry in my bag.,2,21,packaging
The pump broke after two uses.,8,23,packaging
Compact and easy to carry in my bag.,1,21,packaging
"Beautiful and sturdy packaging, feels luxurious.",6,33,packaging
"Beautiful and sturdy packaging, feels luxurious.",9,32,packaging
Compact and easy to carry in my bag.,0,10,packaging
Compact and easy to carry in my bag.,9,10,packaging
Compact and easy to carry in my bag.,5,24,packaging
Too much plastic waste in the packaging.,3,15,packaging
Too much plastic waste in the packaging.,6,27,packaging
Bottle leaks when I travel with it.,5,28,packaging
The pump broke after two uses.,0,0,packaging
The pump broke after two uses.,1,27,packaging
Compact and easy to carry in my bag.,3,12,packaging
Too much plastic waste in the packaging.,1,17,packaging
"Beautiful and sturdy packaging, feels luxurious.",5,15,packaging
The natural oils in it are amazing.,4,32,ingredients
The natural oils in it are amazing.,10,7,ingredients
The natural oils in it are amazing.,4,19,ingredients
Love that it's cruelty-free and vegan.,2,20,ingredients
The natural oils in it are amazing.,2,42,ingredients
"Happy it’s sulfate-free, works for my sensitive scalp.",4,9,ingredients
Fragrance is too strong and caused irritation.,10,12,ingredients
"Happy it’s sulfate-free, works for my sensitive scalp.",8,0,ingredients
Love that it's cruelty-free and vegan.,1,23,ingredients
Too many harsh chemicals in the formula.,4,30,ingredients
Fragrance is too strong and caused irritation.,10,24,ingredients
"Happy it’s sulfate-free, works for my sensitive scalp.",2,21,ingredients
Too many harsh chemicals in the formula.,8,9,ingredients
Love that it's cruelty-free and vegan.,1,40,ingredients
Fragrance is too strong and caused irritation.,8,31,ingredients
Love that it's cruelty-free and vegan.,5,17,ingredients
Fragrance is too strong and caused irritation.,0,19,ingredients
"Happy it’s sulfate-free, works for my sensitive scalp.",5,36,ingredients
Love that it's cruelty-free and vegan.,5,11,ingredients
Fragrance is too strong and caused irritation.,10,22,ingredients
The natural oils in it are amazing.,6,26,ingredients
The natural oils in it are amazing.,2,28,ingredients
Fragrance is too strong and caused irritation.,2,18,ingredients
Too many harsh chemicals in the formula.,0,31,ingredients
Too many harsh chemicals in the formula.,10,42,ingredients
Fragrance is too strong and caused irritation.,4,30,ingredients
Too many harsh chemicals in the formula.,0,35,ingredients
Too many harsh chemicals in the formula.,3,28,ingredients
"Happy it’s sulfate-free, works for my sensitive scalp.",4,43,ingredients
Fragrance is too strong and caused irritation.,3,28,ingredients
"Happy it’s sulfate-free, works for my sensitive scalp.",4,22,ingredients
Love that it's cruelty-free and vegan.,4,14,ingredients
The natural oils in it are amazing.,5,31,ingredients
Love that it's cruelty-free and vegan.,1,27,ingredients
The natural oils in it are amazing.,4,16,ingredients
Customer service was very helpful and quick.,1,7,service
They replaced my damaged product immediately.,6,9,service
Very smooth ordering process.,8,31,service
"Shipping took forever, not impressed.",4,29,service
Customer service was very helpful and quick.,6,37,service
Very smooth ordering process.,10,15,service
"Shipping took forever, not impressed.",5,0,service
They replaced my damaged product immediately.,9,25,service
They replaced my damaged product immediately.,10,24,service
They replaced my damaged product immediately.,8,1,service
They replaced my damaged product immediately.,10,6,service
They replaced my damaged product immediately.,8,20,service
"Shipping took forever, not impressed.",3,0,service
"Shipping took forever, not impressed.",9,26,service
Very smooth ordering process.,4,0,service
They replaced my damaged product immediately.,4,25,service
"Shipping took forever, not impressed.",6,18,service
They replaced my damaged product immediately.,7,1,service
Box was damaged on arrival.,7,9,service
"Shipping took forever, not impressed.",10,4,service
Customer service was very helpful and quick.,4,0,service
They replaced my damaged product immediately.,1,13,service
"Shipping took forever, not impressed.",10,8,service
"Shipping took forever, not impressed.",0,31,service
Customer service was very helpful and quick.,3,28,service
Customer service was very helpful and quick.,7,13,service
Box was damaged on arrival.,10,0,service
Box was damaged on arrival.,7,7,service
Box was damaged on arrival.,3,24,service
Customer service was very helpful and quick.,6,27,service
"Shipping took forever, not impressed.",2,20,service
Box was damaged on arrival.,0,0,service
Very smooth ordering process.,3,19,service
"Shipping took forever, not impressed.",7,12,service
Very smooth ordering process.,8,0,service
Too much unnecessary wrapping.,9,3,sustainability
Glad they are moving towards sustainability.,6,23,sustainability
Wish they offered refill packs to reduce waste.,7,5,sustainability
Too much unnecessary wrapping.,4,17,sustainability
Love that the bottle is recyclable.,8,0,sustainability
Too much unnecessary wrapping.,10,17,sustainability
Love that the bottle is recyclable.,3,27,sustainability
Love that the bottle is recyclable.,5,11,sustainability
Wish they offered refill packs to reduce waste.,2,28,sustainability
Wish they offered refill packs to reduce waste.,6,11,sustainability
Eco-friendly packaging makes me want to repurchase.,6,2,sustainability
Too much unnecessary wrapping.,5,7,sustainability
Wish they offered refill packs to reduce waste.,6,14,sustainability
Too much unnecessary wrapping.,9,18,sustainability
Glad they are moving towards sustainability.,6,16,sustainability
Too much unnecessary wrapping.,0,24,sustainability
Too much unnecessary wrapping.,6,14,sustainability
Glad they are moving towards sustainability.,8,23,sustainability
Too much unnecessary wrapping.,3,0,sustainability
Love that the bottle is recyclable.,6,7,sustainability
Too much unnecessary wrapping.,2,17,sustainability
Too much unnecessary wrapping.,2,29,sustainability
Too much unnecessary wrapping.,9,15,sustainability
Glad they are moving towards sustainability.,10,31,sustainability
Wish they offered refill packs to reduce waste.,7,19,sustainability
Wish they offered refill packs to reduce waste.,0,16,sustainability
Too much unnecessary wrapping.,5,25,sustainability
Love that the bottle is recyclable.,6,12,sustainability
Too much unnecessary wrapping.,4,41,sustainability
Eco-friendly packaging makes me want to repurchase.,7,29,sustainability
Love that the bottle is recyclable.,3,18,sustainability
Eco-friendly packaging makes me want to repurchase.,10,19,sustainability
Wish they offered refill packs to reduce waste.,3,17,sustainability
Eco-friendly packaging makes me want to repurchase.,9,19,sustainability
Eco-friendly packaging makes me want to repurchase.,9,21,sustainability
